iter	Passed	Remaining
409	6369	9165
410	6380	9144
411	6393	9124
412	6405	9104
413	6417	9084
414	6428	9062
415	6441	9042
416	6453	9023
417	6466	9003
418	6476	8981
419	6490	8963
420	6502	8942
421	6514	8923
422	6527	8903
423	6540	8884
424	6552	8864
425	6563	8844
426	6574	8822
427	6586	8802
428	6597	8781
429	6608	8760
430	6620	8740
431	6632	8720
432	6643	8699
433	6654	8678
434	6665	8657
435	6676	8637
436	6687	8616
437	6700	8597
438	6713	8579
439	6724	8558
440	6736	8538
441	6748	8519
442	6759	8499
443	6771	8479
444	6782	8458
445	6793	8439
446	6805	8419
447	6816	8399
448	6828	8379
449	6840	8360
450	6852	8341
451	6864	8322
452	6876	8303
453	6888	8284
454	6899	8264
455	6911	8244
456	6922	8224
457	6934	8206
458	6946	8187
459	6958	8168
460	6970	8149
461	6982	8130
462	6993	8111
463	7004	8091
464	7016	8072
465	7028	8054
466	7040	8035
467	7051	8016
468	7063	7996
469	7074	7977
470	7085	7957
471	7096	7938
472	7108	7919
473	7119	7900
474	7130	7881
475	7143	7863
476	7155	7845
477	7166	7825
478	7178	7808
479	7190	7790
480	7201	7770
481	7213	7752
482	7225	7733
483	7237	7715
484	7250	7699
485	7263	7682
486	7276	7665
487	7289	7648
488	7300	7629
489	7313	7612
490	7326	7595
491	7339	7578
492	7352	7561
493	7365	7543
494	7377	7526
495	7390	7509
496	7402	7491
497	7413	7473
498	7425	7455
499	7437	7437
500	7450	7420
501	7462	7403
502	7475	7386
503	7488	7369
504	7499	7351
505	7511	7333
506	7524	7316
507	7537	7300
508	7548	7281
509	7561	7265
510	7573	7247
511	7585	7229
512	7597	7212
513	7608	7193
514	7620	7176
515	7633	7159
516	7644	7141
517	7657	7125
518	7670	7108
519	7682	7091
520	7697	7077
521	7711	7061
522	7725	7045
523	7737	7029
524	7750	7012
525	7761	6994
526	7775	6979
527	7787	6961
528	7799	6944
529	7810	6926
530	7822	6909
531	7834	6892
532	7846	6874
533	7858	6857
534	7870	6840
535	7883	6824
536	7894	6806
537	7906	6789
538	7918	6772
539	7930	6755
540	7942	6738
541	7955	6722
542	7967	6705
543	7980	6689
544	7993	6673
545	8004	6656
546	8016	6638
547	8028	6622
548	8041	6606
549	8056	6591
550	8068	6574
551	8080	6558
552	8092	6541
553	8105	6525
554	8116	6507
555	8129	6491
556	8140	6474
557	8153	6458
558	8165	6441
559	8176	6424
560	8187	6407
561	8199	6390
562	8211	6373
563	8221	6355
564	8233	6338
565	8245	6322
566	8256	6305
567	8267	6287
568	8279	6271
569	8291	6255
570	8302	6238
571	8314	6221
572	8327	6205
573	8338	6188
574	8350	6171
575	8362	6155
576	8373	6138
577	8386	6122
578	8398	6106
579	8411	6090
580	8424	6075
581	8436	6059
582	8448	6042
583	8460	6026
584	8474	6011
585	8486	5995
586	8499	5980
587	8512	5964
588	8526	5950
589	8541	5935
590	8557	5922
591	8574	5909
592	8586	5893
593	8601	5879
594	8616	5865
595	8632	5851
596	8648	5838
597	8662	5823
598	8676	5808
599	8689	5793
600	8704	5778
601	8717	5763
602	8730	5747
603	8743	5732
604	8756	5717
605	8769	5701
606	8784	5687
607	8797	5672
608	8812	5657
609	8827	5643
610	8840	5628
611	8854	5613
612	8865	5596
613	8876	5580
614	8888	5564
615	8899	5547
616	8911	5531
617	8923	5515
618	8937	5501
619	8951	5486
620	8966	5472
621	8978	5456
622	8991	5440
623	9003	5425
624	9015	5409
625	9026	5393
626	9038	5377
627	9051	5361
628	9063	5345
629	9076	5330
630	9089	5315
631	9102	5299
632	9115	5284
633	9127	5269
634	9140	5253
635	9151	5237
636	9164	5222
637	9177	5207
638	9192	5193
639	9204	5177
640	9217	5162
641	9231	5147
642	9243	5132
643	9257	5117
644	9271	5103
645	9286	5088
646	9302	5075
647	9316	5060
648	9331	5046
649	9344	5031
650	9357	5016
651	9371	5001
652	9385	4987
653	9397	4971
654	9409	4956
655	9427	4943
656	9446	4931
657	9464	4919
658	9483	4907
659	9501	4894
660	9519	4882
661	9539	4870
662	9557	4857
663	9576	4845
664	9594	4833
665	9611	4820
666	9629	4807
667	9648	4795
668	9665	4782
669	9683	4769
670	9700	4756
671	9717	4742
672	9736	4730
673	9757	4719
674	9779	4708
675	9803	4698
676	9825	4687
677	9846	4676
678	9866	4664
679	9885	4651
680	9909	4641
681	9937	4633
682	9959	4622
683	9982	4611
684	10003	4600
685	10024	4588
686	10049	4578
687	10070	4566
688	10097	4557
689	10118	4546
690	10141	4534
691	10162	4523
692	10185	4512
693	10209	4501
694	10232	4490
695	10251	4477
696	10271	4465
697	10291	4452
698	10310	4439
699	10327	4426
700	10345	4412
701	10362	4398
702	10379	4384
703	10397	4371
704	10416	4358
705	10439	4347
706	10456	4333
707	10474	4320
708	10492	4306
709	10510	4293
710	10527	4279
711	10546	4265
712	10563	4252
713	10582	4238
714	10602	4226
715	10622	4213
716	10641	4200
717	10660	4187
718	10677	4173
719	10696	4159
720	10714	4145
721	10732	4132
722	10750	4118
723	10767	4104
724	10785	4090
725	10803	4077
726	10821	4063
727	10841	4050
728	10864	4038
729	10884	4025
730	10904	4012
731	10924	3999
732	10944	3986
733	10962	3972
734	10979	3958
735	10996	3944
736	11013	3930
737	11031	3916
738	11048	3902
739	11065	3887
740	11082	3873
741	11098	3859
742	11115	3844
743	11133	3830
744	11151	3817
745	11169	3803
746	11186	3788
747	11204	3774
748	11222	3760
749	11239	3746
750	11259	3733
751	11279	3719
752	11297	3705
753	11316	3692
754	11334	3678
755	11353	3664
756	11371	3650
757	11392	3637
758	11411	3623
759	11430	3609
760	11450	3596
761	11469	3582
762	11489	3568
763	11507	3554
764	11524	3540
765	11541	3525
766	11558	3511
767	11576	3497
768	11595	3483
769	11613	3468
770	11631	3454
771	11650	3440
772	11669	3426
773	11690	3413
774	11708	3399
775	11727	3385
776	11746	3371
777	11765	3357
778	11786	3343
779	11805	3329
780	11823	3315
781	11841	3301
782	11862	3287
783	11881	3273
784	11900	3259
785	11921	3245
786	11941	3231
787	11962	3218
788	11983	3204
789	12003	3190
790	12022	3176
791	12040	3162
792	12060	3148
793	12078	3133
794	12099	3119
795	12120	3106
796	12139	3091
797	12157	3077
798	12175	3062
799	12192	3048
800	12210	3033
801	12228	3018
802	12245	3004
803	12263	2989
804	12281	2975
805	12299	2960
806	12317	2945
807	12335	2931
808	12352	2916
809	12369	2901
810	12387	2886
811	12408	2872
812	12427	2858
813	12447	2844
814	12468	2830
815	12487	2815
816	12506	2801
817	12531	2788
818	12550	2773
819	12570	2759
820	12588	2744
821	12607	2730
822	12625	2715
823	12642	2700
824	12661	2685
825	12682	2671
826	12701	2656
827	12723	2643
828	12745	2628
829	12766	2614
830	12791	2601
831	12813	2587
832	12841	2574
833	12861	2559
834	12881	2545
835	12903	2531
836	12924	2516
837	12941	2501
838	12959	2486
839	12979	2472
840	13002	2458
841	13022	2443
842	13041	2428
843	13062	2414
844	13083	2399
845	13104	2385
846	13128	2371
847	13153	2357
848	13175	2343
849	13196	2328
850	13216	2313
851	13235	2299
852	13253	2284
853	13271	2268
854	13292	2254
855	13311	2239
856	13333	2224
857	13351	2209
858	13371	2194
859	13388	2179
860	13409	2164
861	13430	2150
862	13448	2134
863	13468	2119
864	13486	2104
865	13505	2089
866	13524	2074
867	13544	2059
868	13566	2045
869	13581	2029
870	13593	2013
871	13606	1997
872	13620	1981
873	13632	1965
874	13648	1949
875	13661	1933
876	13677	1918
877	13692	1902
878	13706	1886
879	13719	1870
880	13731	1854
881	13746	1839
882	13759	1823
883	13772	1807
884	13785	1791
885	13799	1775
886	13812	1759
887	13825	1743
888	13840	1728
889	13852	1712
890	13864	1696
891	13877	1680
892	13890	1664
893	13904	1648
894	13917	1632
895	13929	1616
896	13942	1600
897	13955	1585
898	13969	1569
899	13984	1553
900	13999	1538
901	14012	1522
902	14026	1506
903	14038	1490
904	14051	1474
905	14063	1459
906	14076	1443
907	14088	1427
908	14100	1411
909	14113	1395
910	14125	1380
911	14137	1364
912	14149	1348
913	14161	1332
914	14172	1316
915	14184	1300
916	14196	1284
917	14207	1269
918	14219	1253
919	14233	1237
920	14245	1221
921	14258	1206
922	14270	1190
923	14282	1174
