iter	RMSE
0	40.32321978
1	39.13143
2	37.96691884
3	36.95276736
4	35.8669016
5	34.87468455
6	33.8388546
7	32.8809575
8	31.9355068
9	31.04132111
10	30.16215345
11	29.33808742
12	28.54786556
13	27.77276025
14	27.05614674
15	26.39590162
16	25.72454687
17	25.01417567
18	24.33011304
19	23.70630379
20	23.1025798
21	22.53262409
22	21.92861051
23	21.40006661
24	20.86335868
25	20.3475463
26	19.84790502
27	19.37885803
28	18.91688908
29	18.47853981
30	18.05992894
31	17.63264405
32	17.23412391
33	16.84931021
34	16.49274696
35	16.13893931
36	15.78688523
37	15.46763099
38	15.13291123
39	14.83115403
40	14.5263508
41	14.23423901
42	13.95305626
43	13.69449168
44	13.43114393
45	13.16253213
46	12.93264506
47	12.71169043
48	12.46837837
49	12.27935363
50	12.10628684
51	11.92574959
52	11.70131611
53	11.52731045
54	11.32837724
55	11.14751943
56	10.97269075
57	10.81127142
58	10.64082517
59	10.47418093
60	10.32773255
61	10.19603569
62	10.02381869
63	9.886555577
64	9.747242137
65	9.629041028
66	9.519145354
67	9.399715508
68	9.292526262
69	9.190388967
70	9.06977546
71	8.927154184
72	8.812611946
73	8.695523005
74	8.620896075
75	8.540831679
76	8.453194257
77	8.3703247
78	8.282419235
79	8.218748788
80	8.162397988
81	8.085867485
82	7.991646902
83	7.939049041
84	7.877239101
85	7.792620754
86	7.722548485
87	7.653006524
88	7.580458364
89	7.512234255
90	7.459627733
91	7.411522049
92	7.351559027
93	7.298750128
94	7.227396274
95	7.170821376
96	7.114818364
97	7.044830281
98	7.005585958
99	6.953190925
100	6.929346954
101	6.874180291
102	6.820809153
103	6.759233752
104	6.729483151
105	6.713716523
106	6.673860035
107	6.63155781
108	6.591827009
109	6.543206881
110	6.512788896
111	6.478190052
112	6.425169611
113	6.394927424
114	6.341414145
115	6.292839669
116	6.266379605
117	6.224447527
118	6.175939351
119	6.149453914
120	6.116383025
121	6.10652197
122	6.099072522
123	6.084971478
124	6.077486802
125	6.04306787
126	6.002942668
127	5.969653974
128	5.92552414
129	5.904154991
130	5.899464471
131	5.893287491
132	5.886569545
133	5.866013246
134	5.863338158
135	5.840314022
136	5.813988333
137	5.805480884
138	5.803609632
139	5.79018481
140	5.775013442
141	5.747362806
142	5.74432651
143	5.740143608
144	5.728195264
145	5.725095715
146	5.721380135
147	5.685579183
148	5.65774267
149	5.641232469
150	5.609823986
151	5.606177097
152	5.576495539
153	5.55522017
154	5.55372843
155	5.519493985
156	5.496291572
157	5.465118145
158	5.464418383
159	5.443038135
160	5.440938301
161	5.411000663
162	5.394948447
163	5.380689509
164	5.353659117
165	5.352915929
166	5.352136332
167	5.337346235
168	5.329838808
169	5.326965787
170	5.326023828
171	5.323982189
172	5.323359811
173	5.323059359
174	5.301499528
175	5.300419093
176	5.298853976
177	5.297996126
178	5.280395896
179	5.279611017
180	5.279101149
181	5.277768087
182	5.277195255
183	5.27697786
184	5.2758237
185	5.274781221
186	5.262204945
187	5.261066484
188	5.246620803
189	5.24599732
190	5.245440016
191	5.245178084
192	5.228847885
193	5.212066716
194	5.191158598
195	5.191025185
196	5.190490056
197	5.168843571
198	5.154791412
199	5.136754851
200	5.135303096
201	5.134386383
202	5.111752376
203	5.090650761
204	5.075764021
205	5.064227697
206	5.063553958
207	5.06256348
208	5.062068906
209	5.046507734
210	5.023826163
211	5.022545878
212	5.02139674
213	5.021020169
214	4.993528577
215	4.993248192
216	4.99270384
217	4.973001887
218	4.97154591
219	4.971099913
220	4.970857604
221	4.970618041
222	4.970025848
223	4.969456143
224	4.965310347
225	4.964575262
226	4.952142116
227	4.943085775
228	4.9345182
229	4.931164804
230	4.930522651
231	4.929604242
232	4.928604031
233	4.918783448
234	4.91822427
235	4.91017702
236	4.896422741
237	4.892134087
238	4.891632468
239	4.890921201
240	4.88316236
241	4.876462069
242	4.876010696
243	4.868821665
244	4.855717298
245	4.845264946
246	4.833406294
247	4.83312796
248	4.832212178
249	4.831828338
250	4.82574728
251	4.820253195
252	4.820055505
253	4.819255618
254	4.818886255
255	4.817718273
256	4.817545818
257	4.807029642
258	4.806797203
259	4.806628761
260	4.806497113
261	4.805698598
262	4.805607102
263	4.805512752
264	4.789517516
265	4.778430333
266	4.773804508
267	4.773660213
268	4.772527099
269	4.772379894
270	4.772226421
271	4.768883233
272	4.760713061
273	4.751837386
274	4.742557189
275	4.730990584
276	4.730856568
277	4.730730184
278	4.729914665
279	4.729794049
280	4.727868795
281	4.727753397
282	4.722887523
283	4.722779124
284	4.718703013
285	4.716240548
286	4.716208854
287	4.716141505
288	4.716043516
289	4.715948431
290	4.715868928
291	4.715791536
292	4.715729992
293	4.715643353
294	4.715558826
295	4.712291742
296	4.712221164
297	4.704711175
298	4.704655575
299	4.704589649
300	4.704534048
301	4.703663671
302	4.703587932
303	4.701694601
304	4.70126937
305	4.701255063
306	4.700783157
307	4.700767788
308	4.700410049
309	4.700397064
310	4.700389379
311	4.700076666
312	4.696437589
313	4.694776983
314	4.69474939
315	4.69461089
316	4.694495736
317	4.691012714
318	4.66904904
319	4.668658455
320	4.666510992
321	4.666509123
322	4.666233914
323	4.645475953
324	4.645257149
325	4.645123073
326	4.644981217
327	4.642735876
328	4.640274168
329	4.639568397
330	4.639305819
331	4.639168886
332	4.638847481
333	4.632972608
334	4.632837101
335	4.611478571
336	4.611371066
337	4.611078518
338	4.610971814
339	4.610868618
340	4.61074732
341	4.610648713
342	4.591811108
343	4.591750886
344	4.591524639
345	4.591468211
346	4.588968144
347	4.588773248
348	4.586733131
349	4.575320631
350	4.570698544
351	4.570524944
352	4.570411024
353	4.570282384
354	4.570122669
355	4.569967854
356	4.560322486
357	4.560233031
358	4.553190362
359	4.553103366
360	4.549971359
361	4.549883617
362	4.547486689
363	4.544742897
364	4.544491423
365	4.535207714
366	4.533528027
367	4.52919016
368	4.525495554
369	4.523012861
370	4.521176291
371	4.519563461
372	4.519332361
373	4.494426433
374	4.493056565
375	4.492806773
376	4.491328944
377	4.489708028
378	4.487504352
379	4.486258704
380	4.48521503
381	4.464876635
382	4.463832427
383	4.462217434
384	4.459835952
385	4.457765607
386	4.457362517
387	4.443734785
388	4.443525109
389	4.441003183
390	4.429830065
391	4.427866656
392	4.423318164
393	4.423016558
394	4.422049788
395	4.403181573
396	4.403026122
397	4.40240483
398	4.401273208
399	4.400363512
400	4.399475995
401	4.397626496
402	4.395134915
403	4.392834317
404	4.392202933
405	4.376479256
406	4.372922817
407	4.366928083
408	4.356552906
409	4.349545289
410	4.349039945
411	4.34098848
412	4.327770565
413	4.32061032
414	4.318457365
415	4.317495887
416	4.305744556
417	4.284980348
418	4.283528961
419	4.27959594
420	4.278164126
421	4.277692426
422	4.275467603
423	4.274792078
424	4.274307912
425	4.273761029
426	4.273032909
427	4.260710813
428	4.260167447
429	4.259747705
430	4.257516577
431	4.257090869
432	4.250658367
433	4.24944779
434	4.248773844
435	4.247327095
436	4.245861369
437	4.244653973
438	4.241053513
439	4.240471498
440	4.236289303
441	4.235725455
442	4.23518256
443	4.233234359
444	4.232711156
445	4.232357119
446	4.231859415
447	4.231380198
448	4.229025715
449	4.217999095
450	4.217578553
451	4.217146597
452	4.2167016
453	4.215950035
454	4.214848146
455	4.19745903
456	4.196034366
457	4.195790047
458	4.194871125
459	4.185276637
460	4.170152467
461	4.150971382
462	4.150627779
463	4.150272142
464	4.14992863
465	4.149596797
466	4.148373994
467	4.148054499
468	4.14699209
469	4.13339536
470	4.115054794
471	4.114764195
472	4.108744623
473	4.094836717
474	4.094520345
475	4.094372798
476	4.093499272
477	4.081639386
478	4.081327179
479	4.071470179
480	4.069809824
481	4.063502194
482	4.063091107
483	4.062997602
484	4.061094089
485	4.058384241
486	4.047188941
487	4.046224881
488	4.045408082
489	4.045298773
490	4.045243656
491	4.045217328
492	4.045192232
493	4.043905056
494	4.041552308
495	4.041422245
496	4.036178466
497	4.036130322
498	4.035680797
499	4.034518097
500	4.030712167
501	4.029380796
502	4.025183672
503	4.024673038
504	4.024651528
505	4.023297873
506	4.022500108
507	4.01101802
508	4.006705133
509	3.999964811
510	3.995981027
511	3.995935672
512	3.988315722
513	3.987908285
514	3.987862838
515	3.987637782
516	3.986733214
517	3.986507783
518	3.986135159
519	3.98514961
520	3.982779355
521	3.981931086
522	3.976476985
523	3.976001136
524	3.97568408
525	3.971546883
526	3.971353522
527	3.970465793
528	3.968195064
529	3.966545492
530	3.960082508
531	3.954263279
532	3.952119715
533	3.947897245
534	3.946803208
535	3.946453191
536	3.945829143
537	3.935971116
538	3.932972056
539	3.932081205
540	3.929710481
541	3.929552625
542	3.929041133
543	3.928280034
544	3.926728051
545	3.926243318
546	3.926096585
547	3.925369186
548	3.922826912
549	3.922190054
550	3.92110155
551	3.92091142
552	3.920557821
553	3.911342185
554	3.910525403
555	3.909159471
556	3.909006999
557	3.899130949
558	3.895476374
559	3.893937867
560	3.892681153
561	3.892238103
562	3.891925905
563	3.89173451
564	3.891119133
565	3.890946265
566	3.889274659
567	3.889111958
568	3.888549501
569	3.888177261
570	3.885622995
571	3.884818761
572	3.884318535
573	3.883649383
