iter	RMSE
574	3.883189585
575	3.883059189
576	3.877289327
577	3.862222223
578	3.862096764
579	3.861911309
580	3.86179229
581	3.859218301
582	3.857634498
583	3.857525035
584	3.857362933
585	3.857260405
586	3.857163041
587	3.856898709
588	3.856658421
589	3.855022191
590	3.854684521
591	3.836745487
592	3.835789911
593	3.834909128
594	3.834825002
595	3.834171415
596	3.832029422
597	3.830334379
598	3.816472791
599	3.815833362
600	3.814321839
601	3.814224359
602	3.81415039
603	3.806527313
604	3.799247141
605	3.798970418
606	3.790594282
607	3.787355956
608	3.786877559
609	3.786662104
610	3.785757388
611	3.778677351
612	3.777928987
613	3.777689941
614	3.776659725
615	3.775603826
616	3.775535864
617	3.77429385
618	3.772949249
619	3.772684299
620	3.772598785
621	3.771778708
622	3.771522098
623	3.765992485
624	3.752520943
625	3.752133382
626	3.751938009
627	3.745874245
628	3.745642797
629	3.74443428
630	3.734670851
631	3.725040334
632	3.724898049
633	3.724793379
634	3.72065591
635	3.720117539
636	3.719739494
637	3.719501229
638	3.716929072
639	3.709909061
640	3.709636755
641	3.709154882
642	3.708995027
643	3.698428332
644	3.698182295
645	3.698067943
646	3.697978683
647	3.697645536
648	3.697185515
649	3.696408353
650	3.696331183
651	3.695825668
652	3.69577208
653	3.694991755
654	3.69244874
655	3.692174808
656	3.679417866
657	3.678936775
658	3.678653372
659	3.678616803
660	3.677480591
661	3.675909976
662	3.675121536
663	3.674996299
664	3.674540561
665	3.674478357
666	3.674083411
667	3.673972886
668	3.673589076
669	3.673189795
670	3.673146389
671	3.672802342
672	3.672725694
673	3.672464706
674	3.67170572
675	3.659516014
676	3.659285061
677	3.659159622
678	3.65903537
679	3.65886141
680	3.657310046
681	3.656952247
682	3.656313196
683	3.654799773
684	3.654603799
685	3.654277265
686	3.65174717
687	3.651397525
688	3.651358123
689	3.651307635
690	3.647273616
691	3.645709633
692	3.63933626
693	3.627668071
694	3.6260046
695	3.625415067
696	3.625224032
697	3.625178505
698	3.624962889
699	3.624934368
700	3.624732827
701	3.624618392
702	3.624077268
703	3.62278161
704	3.615898158
705	3.615069064
706	3.61252806
707	3.611838213
708	3.609828958
709	3.609773747
710	3.609535471
711	3.609489918
712	3.608281367
713	3.608167619
714	3.596176982
715	3.594972965
716	3.592578281
717	3.592505469
718	3.578044583
719	3.577137422
720	3.577043229
721	3.57659608
722	3.576481498
723	3.570332735
724	3.569166764
725	3.568641316
726	3.568592275
727	3.556172774
728	3.555987652
729	3.555677459
730	3.555306454
731	3.55525355
732	3.551775586
733	3.551578135
734	3.548680343
735	3.548230146
736	3.545893297
737	3.545691128
738	3.544431128
739	3.541909959
740	3.541827313
741	3.541586399
742	3.541157462
743	3.534688605
744	3.533777188
745	3.533579084
746	3.533075666
747	3.532987702
748	3.531887521
749	3.531858602
750	3.528034187
751	3.527799392
752	3.525578667
753	3.52448766
754	3.523123204
755	3.522753897
756	3.522269444
757	3.517440008
758	3.514785898
759	3.514451512
760	3.514138894
761	3.514063748
762	3.514032732
763	3.513889878
764	3.504279454
765	3.504045556
766	3.499255755
767	3.499054984
768	3.498860076
769	3.498572946
770	3.493780811
771	3.493674744
772	3.492678622
773	3.492488352
774	3.492376717
775	3.492195169
776	3.492015038
777	3.491886622
778	3.491811532
779	3.49075743
780	3.490654661
781	3.488899266
782	3.488827504
783	3.488706469
784	3.488637559
785	3.488553651
786	3.488130155
787	3.478128588
788	3.471794878
789	3.471411678
790	3.470605493
791	3.470529943
792	3.467278111
793	3.465388486
794	3.465283347
795	3.464194385
796	3.463471217
797	3.463197158
798	3.462405789
799	3.461743058
800	3.461476059
801	3.461422441
802	3.45015932
803	3.44612171
804	3.446058455
805	3.445996645
806	3.440893284
807	3.440698159
808	3.440367977
809	3.433538925
810	3.432388179
811	3.432358603
812	3.431389876
813	3.428831
814	3.428797033
815	3.426271303
816	3.426212407
817	3.426036079
818	3.425973907
819	3.421772346
820	3.420888922
821	3.420796798
822	3.420707949
823	3.420633482
824	3.420547906
825	3.41606803
826	3.41589209
827	3.409226292
828	3.408166931
829	3.408106992
830	3.408027863
831	3.407952936
832	3.400809744
833	3.400731361
834	3.40039217
835	3.399544045
836	3.398481483
837	3.39841166
838	3.398359612
839	3.398300417
840	3.398245618
841	3.39481044
842	3.392224705
843	3.392159894
844	3.390685616
845	3.388239192
846	3.385357592
847	3.384721176
848	3.384667262
849	3.384546735
850	3.374828931
851	3.372605724
852	3.37063069
853	3.370571561
854	3.370439258
855	3.369439051
856	3.36936382
857	3.368423016
858	3.367684461
859	3.367663008
860	3.367396133
861	3.367330104
862	3.367087803
863	3.367036751
864	3.366986438
865	3.366929836
866	3.365958191
867	3.363858171
868	3.363828917
869	3.363795961
870	3.36376393
871	3.362669688
872	3.362628015
873	3.362596714
874	3.362350738
875	3.360658978
876	3.360635813
877	3.360610794
878	3.360444923
879	3.35964381
880	3.35961415
881	3.357099817
882	3.357070319
883	3.350125571
884	3.350096941
885	3.350027783
886	3.34999971
887	3.349972567
888	3.349792411
889	3.34967007
890	3.349644412
891	3.349619125
892	3.348659941
893	3.348027525
894	3.3480039
895	3.347265677
896	3.347242418
897	3.343657986
898	3.342488035
899	3.340032041
900	3.339977033
901	3.339325254
902	3.339311079
903	3.337028189
904	3.336003777
905	3.335985294
906	3.335334603
907	3.335313315
908	3.334665294
909	3.334650166
910	3.33338513
911	3.326724189
912	3.32659295
913	3.324050642
914	3.323427785
915	3.323206834
916	3.323154359
917	3.323135617
918	3.322236275
919	3.321762701
920	3.321710952
921	3.321656391
922	3.319810699
923	3.319194552
924	3.31914464
925	3.31891252
926	3.318449357
927	3.31840056
928	3.317870688
929	3.317755055
930	3.317238786
931	3.31719091
932	3.317154673
933	3.31633484
934	3.315207473
935	3.314176127
936	3.313779587
937	3.313649715
938	3.312710197
939	3.308244312
940	3.307519623
941	3.306142483
942	3.304807925
943	3.304258533
944	3.303492812
945	3.303363101
946	3.303315778
947	3.303305597
948	3.301194586
949	3.301148741
950	3.301132327
951	3.301111762
952	3.300630629
953	3.300207739
954	3.300160748
955	3.292351694
956	3.29223857
957	3.292194681
958	3.289290668
959	3.289281579
960	3.289236704
961	3.288172022
962	3.287757759
963	3.287548051
964	3.287157962
965	3.287085774
966	3.286619832
967	3.286422748
968	3.286368169
969	3.286325339
970	3.286286298
971	3.285811144
972	3.285133832
973	3.284962254
974	3.284835414
975	3.284816453
976	3.284770949
977	3.283166881
978	3.281685201
979	3.281583096
980	3.28157114
981	3.281264425
982	3.279264007
983	3.269485294
984	3.265180601
985	3.265169919
986	3.264546512
987	3.26450187
988	3.264426701
989	3.264374234
990	3.263695717
991	3.26351576
992	3.263476447
993	3.262208629
994	3.261145818
995	3.259951413
996	3.259908427
997	3.259763607
998	3.255080248
999	3.25460915
